Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Federico Gay,1255,0,2427,771,40,,,Italy
Fedor Den Hertog,1026,790,998,206,31,76,183,Netherlands
Felice Gimondi,9286,6755,8109,3474,33,78,181,Italy
Félicien Vervaecke,1550,2114,2940,255,29,68,170,Belgium
Félix Cárdenas,1164,469,1354,1100,29,59,167,Colombia
Félix Goethals,703,0,1648,685,32,75,169,France
Félix Sellier,1450,0,3076,892,33,,,Belgium
Ferdi Van Den Haute,1202,1182,4030,161,32,,,Belgium
Ferdinand Bracke,2769,4677,1731,690,40,,,Belgium
Ferdinand Kübler,4540,2946,6576,1300,35,,,Switzerland
Ferdinand Le Drogo,102,22,787,65,30,,,France
Fermo Camellini,1729,618,1838,796,34,,,France
Fernand Cornez,89,10,1316,2,26,88,186,France
Fernando Escartín,6472,1650,1774,3650,31,61,174,Spain
Fernando Gaviria,191,85,4292,89,24,71,180,Colombia
Fernando Manzaneque,5019,1103,3627,1050,29,,,Spain
Filippo Pozzato,1123,501,3710,558,26,73,183,Italy
Fiorenzo Magni,4112,1802,6260,1731,33,,,Italy
Firmin Lambot,2434,0,1077,1970,34,,165,Belgium
Fons De Wolf,1458,1412,4063,871,28,,,Belgium
Francesco Camusso,1620,461,2306,358,27,,,Italy
Francesco Moser,7882,6468,14574,1781,24,79,180,Italy
Francis Campaner,321,102,930,20,28,,,France
Francis Castaing,418,192,3378,75,26,,,France
Francis Pélissier,435,50,2188,378,25,80,182,France
Francisco Cabello,1298,194,889,109,25,72,174,Spain
Franco Bitossi,4433,1682,12950,2397,28,,,Italy
Franco Chioccioli,2974,1070,2114,451,33,,,Italy
François Faber,2178,0,1656,2727,22,88,178,Luxembourg
François Mahé,3378,682,2188,436,24,,,France
François Neuens,433,81,834,0,27,76,182,Luxembourg
François Neuville,653,757,1508,158,26,80,176,Belgium
Frank Hoste,701,552,5695,120,29,,,Belgium
Fränk Schleck,5116,682,1369,3844,29,65,186,Luxembourg
Frans Bonduel,1776,142,5428,249,25,,,Belgium
Frans Brands,1036,516,1792,869,23,,,Belgium
